Dataset,Vertices,Edges,MaxEigen,Runtime_sec,Memory_MB,AvgDegree,Density,Lambda
ba_5k_m5,5000,24975,1.000000,0.010000,0.34,9.9900,1.998400e-03,24.996445
ba_10k_m3,10000,29991,1.000000,0.053000,0.53,5.9982,5.998800e-04,21.010271
ws_5k_k6_p01,5000,15000,1.000000,0.067000,0.27,6.0000,1.200240e-03,6.148184
cit-DBLP,12592,49621,1.000000,0.034000,0.76,7.8814,6.259513e-04,42.818686
cit-HepTh,27769,352285,1.000000,0.243000,3.54,25.3725,9.137330e-04,111.251864
citeseer,3264,4536,1.000000,0.008000,0.13,2.7794,8.517964e-04,13.744249
cora,2708,5278,1.000000,0.013000,0.12,3.8981,1.440000e-03,14.390924
verify_complete_7,7,21,1.000000,0.000000,0.00,6.0000,1.000000e+00,6.000000
verify_cycle_6,6,6,1.000000,0.000000,0.00,2.0000,4.000000e-01,2.000000
verify_known_structure,20,35,1.000000,0.000000,0.00,3.5000,1.842105e-01,5.117167
verify_path_5,5,4,1.000000,0.000000,0.00,1.6000,4.000000e-01,1.714286
verify_star_9,9,8,1.000000,0.000000,0.00,1.7778,2.222222e-01,1.777778
er_1000_dense,1000,10056,1.000000,0.001000,0.11,20.1120,2.013213e-02,21.147146
er_1000_sparse,1000,2555,1.000000,0.002000,0.05,5.1100,5.115115e-03,6.366214
er_100_dense,100,926,1.000000,0.000000,0.01,18.5200,1.870707e-01,19.247575
er_100_sparse,100,244,1.000000,0.000000,0.00,4.8800,4.929293e-02,5.932378
er_10k_dense,10000,50061,1.000000,0.012000,0.69,10.0122,1.001320e-03,11.092275
er_10k_sparse,10000,25000,1.000000,0.025000,0.50,5.0000,5.000500e-04,6.223913
er_500_dense,500,6197,1.000000,0.000000,0.06,24.7880,4.967535e-02,25.736159
er_500_sparse,500,1319,1.000000,0.000000,0.03,5.2760,1.057315e-02,6.474163
er_5k_dense,5000,37640,1.000000,0.007000,0.44,15.0560,3.011802e-03,16.154620
er_5k_sparse,5000,12435,1.000000,0.011000,0.25,4.9740,9.949990e-04,6.169766
ba_1k_m3,1000,2991,1.000000,0.002000,0.05,5.9820,5.987988e-03,13.300104
ba_1k_m5,1000,4975,1.000000,0.001000,0.07,9.9500,9.959960e-03,20.735991
ws_1k_k10_p03,1000,5000,1.000000,0.002000,0.07,10.0000,1.001001e-02,10.303566
ws_1k_k6_p01,1000,3000,1.000000,0.011000,0.05,6.0000,6.006006e-03,6.139334
er_5k_dense,5000,37640,1.000000,0.009000,0.44,15.0560,3.011802e-03,16.154620
er_5k_sparse,5000,12435,1.000000,0.014000,0.25,4.9740,9.949990e-04,6.169766
er_10k_dense,10000,50061,1.000000,0.015000,0.69,10.0122,1.001320e-03,11.092275
er_10k_sparse,10000,25000,1.000000,0.025000,0.50,5.0000,5.000500e-04,6.223913
ba_5k_m3,5000,14991,1.000000,0.013000,0.27,5.9964,1.199520e-03,18.001623
ba_5k_m5,5000,24975,1.000000,0.009000,0.34,9.9900,1.998400e-03,25.911119
ba_10k_m3,10000,29991,1.000000,0.044000,0.53,5.9982,5.998800e-04,20.296853
ws_5k_k6_p01,5000,15000,1.000000,0.052000,0.27,6.0000,1.200240e-03,6.161575
cit-DBLP,12592,49621,1.000000,0.020000,0.76,7.8814,6.259513e-04,42.818686
cit-HepTh,27769,352285,1.000000,0.165000,3.54,25.3725,9.137330e-04,111.251864
citeseer,3264,4536,1.000000,0.009000,0.13,2.7794,8.517964e-04,13.744249
cora,2708,5278,1.000000,0.012000,0.12,3.8981,1.440000e-03,14.390924
verify_complete_7,7,21,1.000000,0.000000,0.00,6.0000,1.000000e+00,6.000000
verify_cycle_6,6,6,1.000000,0.000000,0.00,2.0000,4.000000e-01,2.000000
verify_known_structure,20,35,1.000000,0.000000,0.00,3.5000,1.842105e-01,5.117167
verify_path_5,5,4,1.000000,0.000000,0.00,1.6000,4.000000e-01,1.714286
verify_star_9,9,8,1.000000,0.000000,0.00,1.7778,2.222222e-01,1.777778
er_1000_dense,1000,9936,1.000000,0.001000,0.11,19.8720,1.989189e-02,20.833582
er_1000_sparse,1000,2497,1.000000,0.001000,0.05,4.9940,4.998999e-03,6.231704
er_100_dense,100,981,1.000000,0.000000,0.01,19.6200,1.981818e-01,20.419558
er_100_sparse,100,249,1.000000,0.000000,0.00,4.9800,5.030303e-02,5.973670
er_10k_dense,10000,50091,1.000000,0.021000,0.69,10.0182,1.001920e-03,11.116043
er_10k_sparse,10000,25113,1.000000,0.014000,0.50,5.0226,5.023102e-04,6.285956
er_500_dense,500,6211,1.000000,0.000000,0.06,24.8440,4.978758e-02,25.887842
er_500_sparse,500,1245,1.000000,0.000000,0.02,4.9800,9.979960e-03,6.065769
er_5k_dense,5000,37568,1.000000,0.010000,0.44,15.0272,3.006041e-03,16.072875
er_5k_sparse,5000,12574,1.000000,0.018000,0.25,5.0296,1.006121e-03,6.241765
ba_1k_m3,1000,2991,1.000000,0.002000,0.05,5.9820,5.987988e-03,14.479653
ba_1k_m5,1000,4975,1.000000,0.000000,0.07,9.9500,9.959960e-03,20.287711
ws_1k_k10_p03,1000,5000,1.000000,0.003000,0.07,10.0000,1.001001e-02,10.288648
ws_1k_k6_p01,1000,3000,1.000000,0.008000,0.05,6.0000,6.006006e-03,6.140532
er_5k_dense,5000,37568,1.000000,0.011000,0.44,15.0272,3.006041e-03,16.072875
er_5k_sparse,5000,12574,1.000000,0.016000,0.25,5.0296,1.006121e-03,6.241765
er_10k_dense,10000,50091,1.000000,0.020000,0.69,10.0182,1.001920e-03,11.116043
er_10k_sparse,10000,25113,1.000000,0.041000,0.50,5.0226,5.023102e-04,6.285956
ba_5k_m3,5000,14991,1.000000,0.029000,0.27,5.9964,1.199520e-03,18.613163
ba_5k_m5,5000,24975,1.000000,0.016000,0.34,9.9900,1.998400e-03,24.638180
