Node,Betweenness,BridgingCoefficient,BridgingCentrality
739,0.0008312330,0.2261671335,0.0001879976
728,0.0007569159,0.1639880952,0.0001241252
724,0.0007241001,0.1605210149,0.0001162333
898,0.0006782733,0.2230463980,0.0001512864
899,0.0000741415,0.3224081474,0.0000239038
878,0.0008773719,0.1647055952,0.0001445081
788,0.0014291168,0.1747371511,0.0002497198
859,0.0005111522,0.1703102453,0.0000870545
748,0.0008469247,0.1567868535,0.0001327867
787,0.0006904989,0.1844485432,0.0001273615
729,0.0003083456,0.3585362554,0.0001105531
745,0.0010152760,0.3360545633,0.0003411881
481,0.0001468078,0.4030612245,0.0000591725
840,0.0001886593,0.4256887052,0.0000803101
871,0.0003316901,0.1703944751,0.0000565182
901,0.0001463513,0.1423089118,0.0000208271
825,0.0010087317,0.1946911694,0.0001963912
683,0.0007907308,0.1489177489,0.0001177538
701,0.0003088855,0.2033201516,0.0000628026
769,0.0002092286,0.1449916850,0.0000303364
779,0.0002290604,0.2180241888,0.0000499407
836,0.0001761349,0.1588651464,0.0000279817
855,0.0003212946,0.1840391058,0.0000591308
795,0.0002280920,0.2036375661,0.0000464481
812,0.0013572445,0.1090764791,0.0001480435
873,0.0001083533,0.1443612187,0.0000156420
882,0.0003547044,0.2104030190,0.0000746309
805,0.0011593254,0.1841300555,0.0002134666
741,0.0008914135,0.2541783380,0.0002265780
723,0.0004972857,0.2572880823,0.0001279457
817,0.0009438558,0.2141985423,0.0002021725
832,0.0020508954,0.1172905086,0.0002405506
654,0.0008399263,0.1935194435,0.0001625421
753,0.0005604496,0.2004990380,0.0001123696
784,0.0006495258,0.1484977324,0.0000964531
850,0.0002192387,0.2842670401,0.0000623223
666,0.0007388332,0.3149230399,0.0002326756
804,0.0013150010,0.1686267498,0.0002217443
680,0.0008402709,0.2625330688,0.0002205989
709,0.0011340247,0.1628516367,0.0001846778
811,0.0020086449,0.2244356834,0.0004508116
691,0.0004832442,0.3314285714,0.0001601609
714,0.0011874002,0.2537115662,0.0003012572
763,0.0011896659,0.1750952381,0.0002083048
661,0.0002013594,0.1922222222,0.0000387058
653,0.0005287272,0.2531520563,0.0001338484
778,0.0009606990,0.2637032749,0.0002533395
727,0.0009178492,0.2087478311,0.0001915990
682,0.0009399864,0.2205128205,0.0002072791
649,0.0009421251,0.1573542969,0.0001482474
