Node,Betweenness,BridgingCoefficient,BridgingCentrality
2797,0.0008555421,0.4444444444,0.0003802410
2798,0.0008574984,0.3888888889,0.0003334716
2799,0.0033393906,0.3333333333,0.0011131302
1040,0.0029104570,0.3888888889,0.0011318444
1693,0.0022770623,0.3333333333,0.0007590208
2901,0.0016120320,0.2888888889,0.0004656981
2902,0.0033900263,0.3333333333,0.0011300088
2903,0.0016690894,0.3333333333,0.0005563631
4610,0.0014356335,0.4444444444,0.0006380593
4612,0.0023601201,0.3750000000,0.0008850450
335,0.0020151820,0.3888888889,0.0007836819
336,0.0014110131,0.3333333333,0.0004703377
337,0.0019247148,0.3333333333,0.0006415716
943,0.0036444458,0.3333333333,0.0012148153
2387,0.0034290158,0.3333333333,0.0011430053
2389,0.0015264809,0.3333333333,0.0005088270
2388,0.0028332530,0.3333333333,0.0009444177
2786,0.0019325082,0.3055555556,0.0005904886
2787,0.0042836551,0.3055555556,0.0013088946
2788,0.0027785969,0.3125000000,0.0008683115
2874,0.0013471314,0.3888888889,0.0005238845
2875,0.0010858979,0.3333333333,0.0003619660
2876,0.0030911337,0.3611111111,0.0011162427
2822,0.0080898966,0.3611111111,0.0029213515
532,0.0012429726,0.3333333333,0.0004143242
534,0.0016782824,0.3333333333,0.0005594275
884,0.0040480503,0.4444444444,0.0017991335
885,0.0013065931,0.4444444444,0.0005807080
886,0.0008898696,0.3750000000,0.0003337011
4065,0.0009984944,0.3333333333,0.0003328315
4066,0.0009949789,0.3888888889,0.0003869362
4067,0.0017582379,0.3541666667,0.0006227093
1981,0.0050422125,0.5000000000,0.0025211063
1137,0.0017644091,0.5555555556,0.0009802273
1139,0.0007871396,0.5555555556,0.0004372998
3213,0.0012707975,0.3055555556,0.0003882992
3214,0.0038135352,0.3055555556,0.0011652469
2488,0.0055903250,0.3125000000,0.0017469766
3683,0.0017799326,0.4166666667,0.0007416386
3684,0.0035912356,0.3541666667,0.0012718960
3685,0.0057513203,0.3611111111,0.0020768657
815,0.0015061948,0.3055555556,0.0004602262
816,0.0049015760,0.3055555556,0.0014977038
817,0.0006058525,0.3333333333,0.0002019508
2061,0.0036081160,0.2777777778,0.0010022544
2062,0.0012042409,0.2777777778,0.0003345114
2063,0.0011808667,0.3333333333,0.0003936222
1215,0.0016787544,0.3333333333,0.0005595848
915,0.0007170441,0.3333333333,0.0002390147
