Node_ID	Betweenness_Centrality
9840	122554.835938
10375	121970.687500
918	121949.679688
485	121282.156250
4444	121211.960938
245	121006.968750
183	120909.648438
2394	120889.906250
3110	120793.273438
391	120668.812500
2623	120503.187500
11375	120240.492188
1270	119958.039062
521	119927.382812
1661	119792.765625
10004	119711.523438
488	119145.273438
1862	119066.101562
11575	119024.085938
11352	118545.750000
12016	118534.593750
2081	118468.593750
4883	118403.539062
1727	118060.687500
6452	118052.531250
4424	117854.859375
10278	117848.015625
648	117624.187500
2985	117555.679688
3310	117017.632812
623	116478.468750
473	116165.460938
11675	115893.578125
1774	115672.406250
2159	115584.546875
10311	115373.226562
1364	115105.437500
5225	114738.164062
7610	113867.062500
10062	113660.671875
8597	113487.273438
1973	113398.945312
1569	113313.007812
2047	113300.359375
2981	113291.796875
5592	113201.578125
4236	112472.992188
1219	112422.992188
2867	112009.921875
787	111879.960938
3333	111574.078125
1501	111335.468750
1650	111250.578125
11288	111206.406250
9418	110789.703125
2179	110698.062500
461	110644.593750
11474	110597.984375
8781	110535.460938
5739	110508.562500
223	109908.359375
7095	109888.804688
1540	109887.101562
11030	109866.382812
5431	109817.054688
8637	109791.578125
5262	109648.945312
531	109634.398438
11350	109596.382812
1832	109595.750000
11788	109501.226562
8423	109295.507812
11295	108992.828125
654	108923.851562
774	108640.851562
4260	108590.179688
3904	108377.507812
10168	108041.890625
45	108016.210938
9067	107716.101562
4579	107521.132812
679	107513.718750
9043	107461.117188
2811	107364.140625
1671	107343.453125
1371	107267.484375
11621	107082.703125
2719	106889.789062
4072	106694.234375
696	106651.414062
2276	106530.984375
2919	106465.007812
9951	106035.453125
8816	105896.460938
4624	105838.812500
2518	105799.789062
4859	105730.257812
453	105622.953125
9036	105488.046875
63	105453.656250
10372	105242.601562
3607	105127.367188
9539	104896.093750
8976	104886.492188
8962	104848.046875
149	104737.093750
3502	104314.984375
1350	104149.765625
8317	104033.500000
3253	103925.281250
6660	103838.148438
7701	103836.273438
3947	103698.835938
11776	103527.531250
2450	103341.414062
9033	103075.992188
1868	102609.984375
4869	102483.796875
6516	102415.320312
11955	102111.632812
5916	101679.851562
549	101666.882812
6983	101474.164062
7072	101293.523438
9574	101261.359375
822	101178.570312
1821	101009.554688
6385	100866.289062
3456	100739.117188
6479	100597.710938
3141	100484.492188
11527	100244.132812
3584	100170.125000
9218	99985.218750
621	99905.625000
1617	99874.296875
1405	99611.679688
4322	99610.765625
2086	99109.554688
8956	99022.015625
49	98737.531250
2565	98617.007812
701	98498.875000
6589	98484.656250
764	98118.109375
1031	97838.835938
5059	97758.812500
6174	97742.250000
2895	97663.671875
1922	97542.984375
6198	97502.976562
7618	97351.562500
1825	97317.734375
9769	97287.710938
8209	97214.054688
11191	97110.132812
6778	96912.789062
7764	96850.382812
202	96606.015625
8995	96605.539062
11738	96582.085938
3038	96319.851562
11156	96260.187500
637	95841.632812
8847	95774.335938
2248	95736.656250
5339	95580.351562
5404	95561.382812
1793	95466.390625
5399	95466.101562
9584	95352.445312
3705	95308.335938
7250	95284.632812
3892	95234.929688
3967	95229.335938
979	95148.414062
8653	95139.835938
2818	94791.015625
11036	94679.710938
858	94626.203125
3094	94355.867188
6471	94352.046875
3148	94288.531250
4166	94148.593750
2386	94145.804688
6323	94140.437500
9475	94115.195312
1908	93942.773438
9987	93615.406250
3244	93447.226562
12032	93320.867188
24	93300.179688
85	93252.617188
2218	93043.492188
4974	92997.320312
8500	92972.617188
3256	92972.148438
4505	92934.039062
4596	92929.875000
10921	92774.687500
4807	92699.554688
1392	92639.125000
9635	92516.445312
2957	92436.218750
1462	92362.437500
11303	92183.156250
7583	92181.726562
1561	91972.226562
1897	91955.875000
2482	91750.359375
98	91629.789062
7595	91440.679688
6386	91440.421875
4836	91431.710938
752	91189.328125
2722	91064.664062
2690	91035.453125
7941	90869.179688
7738	90612.445312
8905	90528.429688
8828	90452.414062
5472	90229.085938
343	90099.945312
83	90044.507812
6014	90023.171875
9115	89967.000000
4354	89807.281250
8766	89800.734375
8162	89779.015625
9591	89634.718750
6688	89550.429688
2194	89464.195312
9385	89175.390625
11612	89157.765625
3810	89021.757812
4984	88879.125000
528	88860.273438
126	88739.945312
8667	88619.484375
5790	88574.070312
3646	88563.335938
6459	88539.218750
3562	88387.695312
1531	88310.789062
8994	88291.851562
4982	88279.476562
8861	88263.046875
11907	88227.421875
1162	88089.609375
579	88071.187500
9535	87981.812500
536	87925.367188
2873	87917.265625
1551	87905.398438
721	87871.320312
152	87678.757812
960	87509.984375
5009	87484.968750
1234	87473.304688
12407	87435.390625
9459	87430.000000
7474	87430.000000
477	87415.164062
11272	87375.625000
2505	87328.265625
757	87261.820312
2103	87208.359375
1941	87202.257812
3798	87090.015625
3111	86986.984375
897	86886.125000
767	86822.820312
5498	86726.960938
4082	86548.101562
272	86536.062500
9756	86298.257812
6218	86034.406250
2445	85970.156250
73	85934.843750
1160	85780.218750
575	85721.789062
4093	85633.976562
3037	85553.492188
4478	85495.921875
3040	85493.117188
4901	85464.765625
184	85306.921875
9733	85208.367188
2295	85172.148438
