Node_ID	Betweenness_Centrality	Rank
3209	55666.519531	867
6471	55656.503906	868
1731	55462.734375	869
469	55439.269531	870
24	55429.589844	871
5431	55344.992188	872
11955	55248.031250	873
1082	55230.207031	874
11474	55206.472656	875
4260	55139.824219	876
1488	55033.464844	877
9998	55011.105469	878
1960	54851.980469	879
5056	54822.937500	880
1908	54784.960938	881
7618	54714.488281	882
2749	54677.707031	883
6218	54669.542969	884
2055	54641.972656	885
9674	54578.636719	886
3669	54557.765625	887
8962	54468.843750	888
1244	54381.015625	889
1297	54337.601562	890
1572	54249.234375	891
8512	54235.984375	892
1163	54213.960938	893
3791	54154.039062	894
1937	54050.558594	895
905	53993.269531	896
406	53894.796875	897
2611	53857.578125	898
2526	53844.273438	899
9067	53834.351562	900
2276	53822.316406	901
1642	53788.484375	902
7213	53435.777344	903
1129	53420.062500	904
2913	53391.500000	905
3487	53347.707031	906
2011	53009.593750	907
9033	52885.023438	908
1204	52843.792969	909
3584	52681.429688	910
11303	52655.148438	911
798	52604.105469	912
2957	52569.218750	913
3883	52559.847656	914
4523	52541.882812	915
1966	52417.972656	916
3357	52133.171875	917
9574	52128.589844	918
2654	52103.417969	919
126	52091.660156	920
1371	52068.906250	921
6681	51946.105469	922
10415	51925.941406	923
1890	51894.308594	924
454	51834.671875	925
6660	51787.839844	926
279	51782.828125	927
2407	51699.542969	928
1392	51585.847656	929
9497	51413.320312	930
1685	51396.312500	931
420	51369.636719	932
4869	51291.871094	933
1225	51186.917969	934
1155	51084.207031	935
286	51014.609375	936
1793	50948.910156	937
1357	50880.277344	938
2135	50830.539062	939
5059	50804.621094	940
6778	50787.726562	941
7	50659.753906	942
497	50538.042969	943
7876	50533.429688	944
6914	50388.085938	945
11036	50317.941406	946
2519	50304.613281	947
2052	50287.542969	948
759	50240.058594	949
9164	50118.148438	950
549	50040.101562	951
4974	49925.441406	952
11527	49906.851562	953
1547	49887.042969	954
3484	49832.238281	955
3172	49744.332031	956
8766	49699.296875	957
584	49272.957031	958
10978	49250.011719	959
1542	49163.863281	960
108	49151.878906	961
6706	49125.710938	962
6386	49125.300781	963
4596	48942.703125	964
8209	48934.097656	965
848	48930.363281	966
4360	48897.558594	967
9769	48864.238281	968
25	48844.074219	969
2046	48835.929688	970
4478	48693.761719	971
1792	48688.488281	972
4166	48657.875000	973
5608	48485.179688	974
330	48484.800781	975
11272	48471.378906	976
3010	48463.691406	977
4700	48385.851562	978
5339	48346.363281	979
10630	48150.445312	980
2722	48031.105469	981
6090	47960.683594	982
10342	47922.207031	983
2690	47915.804688	984
966	47901.601562	985
607	47901.250000	986
3094	47852.046875	987
8653	47756.296875	988
1813	47625.324219	989
300	47573.093750	990
8934	47523.472656	991
5219	47513.203125	992
4497	47351.742188	993
399	47340.824219	994
5206	47324.984375	995
2892	47260.136719	996
71	47240.312500	997
2218	47215.718750	998
159	47209.851562	999
2373	47202.472656	1000
858	47186.058594	1001
9413	47023.589844	1002
10921	46959.539062	1003
3562	46793.160156	1004
130	46766.960938	1005
