Node_ID	Betweenness_Centrality	Rank
515	337810.281250	98
10217	330353.562500	99
4579	324550.250000	100
511	317579.312500	101
1735	316233.531250	102
3885	314885.031250	103
5399	314588.156250	104
240	314162.468750	105
2349	312921.312500	106
1385	309878.343750	107
375	305604.156250	108
4051	305423.968750	109
551	302425.218750	110
745	302211.125000	111
141	300903.250000	112
595	300222.718750	113
7019	300086.875000	114
11664	299636.656250	115
11846	297132.062500	116
414	296674.531250	117
4939	295479.031250	118
4502	294818.250000	119
11636	289085.781250	120
8049	285204.187500	121
796	284348.656250	122
10958	280409.375000	123
9785	279881.375000	124
346	276742.281250	125
1280	276207.093750	126
11592	272409.250000	127
480	271865.687500	128
6034	271674.218750	129
6328	270048.718750	130
6521	268586.500000	131
376	268569.562500	132
2653	268288.343750	133
8280	266923.875000	134
3673	265814.531250	135
3835	263660.281250	136
205	262924.062500	137
6504	262583.625000	138
6909	262428.093750	139
10682	262369.906250	140
12064	260636.750000	141
9218	256360.406250	142
8679	251871.812500	143
74	249635.031250	144
6562	246838.671875	145
4253	246468.843750	146
1690	245374.375000	147
169	244540.859375	148
8232	244051.625000	149
9199	242984.500000	150
2047	237066.171875	151
1617	235643.156250	152
8750	235359.718750	153
2699	235289.843750	154
2985	234979.250000	155
10187	234729.687500	156
8189	232946.656250	157
726	232786.671875	158
5428	232505.625000	159
756	230959.421875	160
625	230653.859375	161
5109	229554.765625	162
2628	228449.625000	163
10231	226667.515625	164
3284	226224.046875	165
7583	225557.468750	166
6611	225538.796875	167
6516	223822.734375	168
1953	223289.703125	169
9662	223230.390625	170
1317	222644.875000	171
2811	222208.921875	172
732	222186.781250	173
2981	222130.968750	174
8597	222128.828125	175
780	221203.625000	176
4714	221045.171875	177
6374	220838.718750	178
938	220489.171875	179
9201	219998.671875	180
8611	219376.765625	181
830	217848.593750	182
11156	217333.890625	183
12016	217245.796875	184
683	216603.031250	185
264	216300.546875	186
9539	215846.468750	187
608	215616.312500	188
11288	214970.796875	189
9385	214773.000000	190
6479	214377.031250	191
10062	214313.531250	192
6983	213765.593750	193
8074	213522.968750	194
3037	212202.234375	195
820	211819.968750	196
2482	211750.640625	197
4624	211650.312500	198
11825	211543.968750	199
2521	208817.984375	200
5916	207858.781250	201
9959	207695.015625	202
7764	207567.734375	203
3141	207447.390625	204
3056	207264.953125	205
937	207231.437500	206
7087	207120.265625	207
8956	206728.687500	208
896	206638.578125	209
6589	206085.140625	210
2818	205220.703125	211
3967	205038.656250	212
11738	204908.859375	213
9475	203962.484375	214
88	203687.343750	215
12032	203614.921875	216
2179	202339.937500	217
3521	202178.625000	218
8667	201379.890625	219
5104	201287.171875	220
795	201026.031250	221
5454	200808.031250	222
790	200593.218750	223
1320	200168.453125	224
208	200132.859375	225
430	199607.171875	226
8062	199139.812500	227
4226	198891.125000	228
465	198692.453125	229
712	198681.546875	230
4325	198369.406250	231
5770	197762.031250	232
11309	197617.187500	233
36	197386.765625	234
3246	197331.421875	235
357	196926.171875	236
500	196697.375000	237
5780	194509.328125	238
6076	194379.390625	239
6549	194307.640625	240
192	193614.546875	241
4984	193449.921875	242
4280	193198.796875	243
8910	192920.859375	244
85	192544.734375	245
9529	192540.500000	246
1529	192271.343750	247
11174	192052.781250	248
4725	191913.796875	249
1604	191508.390625	250
7135	190600.296875	251
721	190401.578125	252
8602	189976.062500	253
6235	189946.859375	254
413	189894.046875	255
2645	189599.718750	256
10645	189419.265625	257
124	188538.468750	258
5995	188504.921875	259
2243	188328.093750	260
3256	188198.890625	261
11370	187662.796875	262
7555	186950.203125	263
1672	186411.500000	264
10457	186409.593750	265
5262	186132.187500	266
10129	185706.031250	267
10295	185672.859375	268
621	185255.390625	269
5126	185022.156250	270
10438	184575.125000	271
10425	184523.687500	272
8643	184370.843750	273
6054	184329.406250	274
1224	184062.796875	275
237	183302.281250	276
4433	183116.687500	277
10363	182627.750000	278
6752	182467.687500	279
200	182154.187500	280
1967	181844.156250	281
1658	181178.203125	282
185	180802.875000	283
11736	180774.765625	284
5643	180692.265625	285
2951	180244.578125	286
4539	179999.828125	287
342	179953.140625	288
8155	179867.765625	289
940	179158.531250	290
10634	179024.937500	291
5304	179004.046875	292
4137	178980.703125	293
3013	178826.328125	294
8699	178653.265625	295
6311	177898.453125	296
4349	177842.187500	297
8905	177687.703125	298
5828	177277.921875	299
5768	177076.875000	300
5064	176944.703125	301
654	176821.718750	302
11484	176713.515625	303
960	176709.375000	304
6903	176149.953125	305
3805	175735.312500	306
329	174391.281250	307
10940	174156.609375	308
3607	173634.421875	309
398	172466.515625	310
11146	172340.546875	311
7029	171545.703125	312
7084	170989.906250	313
8129	170856.390625	314
2019	170783.468750	315
9224	170745.468750	316
6315	170460.312500	317
2543	170399.250000	318
10936	169855.171875	319
5765	169717.796875	320
10088	169518.671875	321
2194	168954.500000	322
1662	168657.906250	323
8861	168429.781250	324
2472	168411.265625	325
4322	167751.234375	326
1158	167621.156250	327
787	167607.750000	328
9162	167150.328125	329
1583	167066.093750	330
3148	166963.359375	331
1594	166305.609375	332
8976	166114.875000	333
4819	165944.093750	334
757	165929.015625	335
7442	165864.171875	336
3073	165781.937500	337
265	165646.937500	338
4850	165120.109375	339
70	164943.546875	340
5574	164924.390625	341
11112	164441.750000	342
6678	163517.609375	343
12126	163508.000000	344
9812	163467.937500	345
409	163398.531250	346
1920	162523.390625	347
3993	161361.843750	348
8523	161316.984375	349
245	161019.187500	350
578	160275.953125	351
4879	159860.031250	352
1702	159813.328125	353
374	159683.812500	354
296	158775.875000	355
29	157792.828125	356
14	154352.562500	357
9418	153837.359375	358
7807	153256.421875	359
612	151998.843750	360
1790	151781.843750	361
3798	151585.031250	362
968	151457.968750	363
517	150799.562500	364
4236	150439.437500	365
453	149792.281250	366
11177	149673.562500	367
4965	149660.515625	368
4354	147733.390625	369
7738	147700.437500	370
4498	147577.671875	371
4662	147262.125000	372
2248	146710.140625	373
11915	146705.359375	374
5952	145403.750000	375
373	145237.500000	376
799	145069.828125	377
3082	145040.015625	378
266	143246.328125	379
350	143059.968750	380
1133	142437.453125	381
1528	140034.140625	382
6476	140009.171875	383
1160	139092.593750	384
2845	139001.390625	385
8068	138650.640625	386
1558	138339.734375	387
1571	137829.312500	388
283	137189.687500	389
2602	134796.203125	390
5463	134011.203125	391
361	133847.093750	392
3699	133506.265625	393
3177	133162.109375	394
2899	132234.609375	395
49	132010.703125	396
2873	131751.093750	397
6452	131441.000000	398
1673	130677.078125	399
2379	130265.539062	400
1062	130097.976562	401
6198	129280.226562	402
3557	128503.882812	403
