Dataset,Vertices,Edges,MaxBC,Runtime_sec,Memory_MB,AvgDegree,Density
ba_5k_m5,5000,24975,1182075.072246,3.805000,0.34,9.9900,1.998400e-03
ba_10k_m3,10000,29991,6549894.061583,20.453000,0.53,5.9982,5.998800e-04
ws_5k_k6_p01,5000,15000,171428.172507,4.009000,0.27,6.0000,1.200240e-03
cit-DBLP,12592,49621,11391541.943472,29.867000,0.76,7.8814,6.259513e-04
cit-HepTh,27769,352285,31528431.196295,298.931000,3.54,25.3725,9.137330e-04
citeseer,3264,4536,399409.261127,0.614000,0.13,2.7794,8.517964e-04
cora,2708,5278,851504.958547,0.738000,0.12,3.8981,1.440000e-03
verify_complete_7,7,21,0.000000,0.000000,0.00,6.0000,1.000000e+00
verify_cycle_6,6,6,2.000000,0.000000,0.00,2.0000,4.000000e-01
verify_known_structure,20,35,99.000000,0.000000,0.00,3.5000,1.842105e-01
verify_path_5,5,4,4.000000,0.000000,0.00,1.6000,4.000000e-01
verify_star_9,9,8,28.000000,0.000000,0.00,1.7778,2.222222e-01
er_1000_dense,1000,9832,2701.207683,0.259000,0.11,19.6640,1.968368e-02
er_1000_sparse,1000,2472,10550.750820,0.143000,0.05,4.9440,4.948949e-03
er_100_dense,100,1002,93.994539,0.002000,0.01,20.0400,2.024242e-01
er_100_sparse,100,226,430.460415,0.002000,0.00,4.5200,4.565657e-02
er_10k_dense,10000,49920,85612.364222,15.257000,0.69,9.9840,9.984998e-04
er_10k_sparse,10000,25099,203522.260330,9.615000,0.50,5.0198,5.020302e-04
er_500_dense,500,6179,744.098200,0.120000,0.06,24.7160,4.953106e-02
er_500_sparse,500,1303,4728.410176,0.068000,0.03,5.2120,1.044489e-02
er_5k_dense,5000,37324,21478.891604,4.173000,0.44,14.9296,2.986517e-03
er_5k_sparse,5000,12575,87729.905912,2.322000,0.25,5.0300,1.006201e-03
ba_1k_m3,1000,2991,70765.647732,0.176000,0.05,5.9820,5.987988e-03
ba_1k_m5,1000,4975,35000.445944,0.169000,0.07,9.9500,9.959960e-03
ws_1k_k10_p03,1000,5000,4341.705174,0.204000,0.07,10.0000,1.001001e-02
ws_1k_k6_p01,1000,3000,19320.286087,0.107000,0.05,6.0000,6.006006e-03
er_5k_dense,5000,37324,21478.891604,4.154000,0.44,14.9296,2.986517e-03
er_5k_sparse,5000,12575,87729.905912,2.313000,0.25,5.0300,1.006201e-03
er_10k_dense,10000,49920,85612.364222,14.425000,0.69,9.9840,9.984998e-04
er_10k_sparse,10000,25099,203522.260330,10.352000,0.50,5.0198,5.020302e-04
ba_5k_m3,5000,14991,1981668.970475,2.406000,0.27,5.9964,1.199520e-03
ba_5k_m5,5000,24975,1003248.465263,3.098000,0.34,9.9900,1.998400e-03
ba_10k_m3,10000,29991,6487931.614776,10.075000,0.53,5.9982,5.998800e-04
ws_5k_k6_p01,5000,15000,170233.201376,2.219000,0.27,6.0000,1.200240e-03
cit-DBLP,12592,49621,11391541.943472,15.948000,0.76,7.8814,6.259513e-04
