Node,Authority
188,0.0556489074
217,0.0362371896
265,0.0389231259
334,0.0473720350
364,0.0350255886
410,0.0210759111
11,0.0597308847
17,0.0626570858
18,0.0405738283
99,0.0858394745
109,0.0788490054
151,0.0746510262
169,0.0666549598
237,0.0397121429
247,0.0530167198
284,0.0236085195
291,0.0389023641
300,0.0546699357
320,0.0480552725
322,0.0312374100
423,0.0218417869
442,0.0183830479
12,0.0300413939
32,0.0766229101
49,0.0704834479
164,0.0735756891
230,0.0890237212
301,0.0434381721
338,0.0392677966
372,0.0087168104
391,0.0109665034
29,0.0621921086
78,0.0578711546
98,0.0532426904
107,0.0455664976
276,0.0465838850
279,0.0271001854
333,0.0134686682
353,0.0259657719
382,0.0119612412
481,0.0028349314
14,0.0768372811
22,0.0597261414
81,0.0345093174
101,0.0718540545
119,0.0573152808
125,0.0748386275
168,0.0326359658
189,0.0564672408
254,0.0448391217
328,0.0220497044
344,0.0592527248
425,0.0154454841
440,0.0088650279
486,0.0117530940
491,0.0000000000
494,0.0000000000
15,0.0521661591
20,0.0487505539
54,0.0613437543
77,0.0553376708
195,0.0378489743
268,0.0311859399
278,0.0337820920
326,0.0432403141
426,0.0000000000
16,0.0641952856
24,0.0684969143
31,0.0616936414
44,0.0598500364
56,0.0762040583
79,0.0484724524
88,0.0626535048
114,0.0444817845
136,0.0415959218
184,0.0716703808
221,0.0518295758
224,0.0378524002
245,0.0324764353
337,0.0445430137
408,0.0345168035
21,0.0429364860
41,0.0810854174
53,0.0574968879
139,0.0693695101
158,0.0436161652
166,0.0338017656
211,0.0282162955
229,0.0441487439
244,0.0713017028
421,0.0146429000
458,0.0070488888
57,0.0855871277
146,0.0399408619
205,0.0319286382
223,0.0394417573
241,0.0622608954
378,0.0193005016
437,0.0220869052
439,0.0203673735
64,0.0633985416
97,0.0721126877
100,0.0661187936
280,0.0289600441
287,0.0292952381
343,0.0368415656
361,0.0277723403
402,0.0170001460
433,0.0091840264
444,0.0161372428
59,0.0577456077
60,0.0363478961
69,0.0532390792
115,0.0443753844
187,0.0662100563
222,0.0389340984
340,0.0361829542
409,0.0153143037
471,0.0000000000
73,0.0618259878
155,0.0550373326
216,0.0518473721
289,0.0422653152
383,0.0028082510
469,0.0025459800
154,0.0365927739
190,0.0382751688
199,0.0355604907
342,0.0271703792
355,0.0450090225
368,0.0307121874
35,0.0727702179
70,0.0798758684
138,0.0636094531
271,0.0302682974
318,0.0286889261
360,0.0207363598
398,0.0488184271
497,0.0000000000
201,0.0325549717
210,0.0432382145
212,0.0322762193
266,0.0481882873
329,0.0242095276
403,0.0142575835
407,0.0100892186
429,0.0233180543
484,0.0032047547
28,0.0509510300
142,0.0478003289
208,0.0433117821
258,0.0362133174
304,0.0235040646
347,0.0149676264
430,0.0095971186
470,0.0000000000
150,0.0927699085
335,0.0362788895
140,0.0581288732
149,0.0648316786
220,0.0474043115
314,0.0371343814
463,0.0123030140
482,0.0000000000
61,0.0844071630
82,0.0489385811
218,0.0606162132
226,0.0185155426
239,0.0442400136
288,0.0326543896
306,0.0369593863
427,0.0169469068
455,0.0152708229
87,0.0820246570
94,0.0724452773
134,0.0431614228
207,0.0416127863
213,0.0559172087
441,0.0068768475
443,0.0160278918
445,0.0165941764
466,0.0068331608
480,0.0088981956
252,0.0418740501
478,0.0044225072
74,0.0553393603
130,0.0538948532
198,0.0632358718
277,0.0375175569
294,0.0350191067
367,0.0287361209
453,0.0123765441
47,0.0557198498
58,0.0472953613
33,0.0466784666
124,0.0632578738
331,0.0189087719
350,0.0365936559
351,0.0147086106
395,0.0186867770
401,0.0164384475
454,0.0189099022
487,0.0000000000
51,0.0636808578
72,0.0746586843
92,0.0398482955
200,0.0494609134
248,0.0398978838
428,0.0102447416
113,0.0485051006
275,0.0449985521
295,0.0274860967
359,0.0285710885
36,0.0488409783
240,0.0475187641
415,0.0104771305
40,0.0766737436
95,0.0579655170
126,0.0455786827
163,0.0628917848
167,0.0593123510
431,0.0086850233
468,0.0038441341
71,0.0780076532
170,0.0565200278
192,0.0261322245
303,0.0510324545
311,0.0387798635
451,0.0032372363
219,0.0325726942
316,0.0321911873
379,0.0252688796
436,0.0044225072
108,0.0613434819
196,0.0359178516
251,0.0565368330
260,0.0414165330
330,0.0227026610
457,0.0060921363
324,0.0264677806
461,0.0108962104
493,0.0000000000
496,0.0000000000
319,0.0368448897
479,0.0032327884
156,0.0683671634
46,0.0453546345
135,0.0788475163
231,0.0497556411
238,0.0307079723
122,0.0471467927
274,0.0312966746
339,0.0230001422
384,0.0093997683
171,0.0401200463
267,0.0328111663
419,0.0224256123
173,0.0506014933
185,0.0402121458
377,0.0108161650
80,0.0495651942
206,0.0412251672
179,0.0488134712
325,0.0258226843
131,0.0500549181
313,0.0139694941
462,0.0064812185
498,0.0000000000
246,0.0395272513
262,0.0645459182
448,0.0115657824
452,0.0092357124
490,0.0000000000
159,0.0446098192
202,0.0304280377
281,0.0322394694
348,0.0240092968
357,0.0190858561
253,0.0470619236
84,0.0596923649
110,0.0535778624
143,0.0771791258
161,0.0264346551
263,0.0400988625
203,0.0446269702
183,0.0702062910
293,0.0338383134
76,0.0635023131
483,0.0042519201
363,0.0304029173
424,0.0121980273
302,0.0357318483
162,0.0741809055
257,0.0174277412
236,0.0378999860
417,0.0063988684
176,0.0345287788
